Metric,Value
theta,2.852059576378211
loglik,1.4087376273349523
std_error,1.6771783204786053
variance,2.8129271186834353
z_value,1.7005106383466355
p_value,0.08903491706829603
ci_lower,-0.435209931759855
ci_upper,6.139329084516277
aic,-0.8174752546699047
bic,3.4516210290363567
rmse,0.020486529061908027
mae,0.016345735349566373
maximum_error,0.05043628043706222
cramer_von_mises,0.00041969787300440213
kolmogorov_smirnov,0.05043628043706222
bootstrap_mean,2.8901600197019697
bootstrap_bias,0.038100443323758615
bootstrap_variance,3.0270156238520554
bootstrap_std_error,1.7398320677157482
bootstrap_ci_lower,-0.9701295069388073
bootstrap_ci_upper,6.0036380058555805
cv_folds,5
cv_repeats,20
cv_theta_mean,2.8411253745044136
cv_theta_median,2.9228668288424435
cv_theta_sd,0.8738344021714767
cv_theta_cv_percent,30.756629398092027
cv_theta_min,0.2659493053186601
cv_theta_max,4.6993134564542425
cv_loglik_mean,1.232336023908194
cv_loglik_sd,0.689761520938559
best_model,Gaussian
sample_size,528
empirical_copula_0505,0.2481060606060606
empirical_grid_size,100
theoretical_grid_size,100
